Tweet	Target	Stance	Sentiment
Probably not perfect for everyone--which I think is great. But this is the beginning of a conversation.	Hillary Clinton	NONE	pos
I'm on the edge of my seat to start volunteering for @HillaryClinton 's presidential campaign!  So excited!!  #cantwait	Hillary Clinton	FAVOR	pos
RT @FutureTXLeader: Is everyone in #ElPaso #Texas ready for president #MarcoRubio #UTEP #NewAmericanCentury #2016 #Future #Rub...	Hillary Clinton	AGAINST	pos
RT @GunnJessica: Because I want young American women to be able to be proud of the 1st woman president	Hillary Clinton	FAVOR	pos
@Chris_1791 @newsbusters 2 years ago #Hillary never answered whether she used private email #Liberal media passed on reporting	Hillary Clinton	AGAINST	neg
@dnewhauser take that, Marco Rubio. @GOP cannot pander to the Latino vote while pushing policies that hurt the community most.	Hillary Clinton	NONE	neg
@StateDept @AmbCathyRussell @AdamSmith_USA @HillaryClinton @HillaryforIA @BarackObama The whole #world is supporting you.	Hillary Clinton	FAVOR	pos
Lets remember #dickcheney is an unindicted war criminal b4 we start yelling #Benghazi day after day. Will we ever see justice?	Hillary Clinton	NONE	neg
Although I certainly have disagreements, after reading about @GovernorOMalley I much rather have him than @HillaryClinton.	Hillary Clinton	AGAINST	other
Human rights are women's rights and women's rights are human rights. - Hillary Clinton	Hillary Clinton	FAVOR	pos
Would you wanna be in a long term relationship with some bitch that hides her emails, & lies to your face? Then #Dontvote	Hillary Clinton	AGAINST	neg
Bill Clinton just wants to be the first dude to be President and bang one.	Hillary Clinton	NONE	neg
@HuffPostPol If @HillaryClinton can do half of what he did then she would be doing is a favor	Hillary Clinton	FAVOR	neg
I've made my decision, to the shock of no one probably, who I'm supporting 	Hillary Clinton	NONE	neg
Didn't realize Bob Dole was mentioned in Tupac's How do u want it #YesterdaysLeaders	Hillary Clinton	NONE	other
If I run for office this will be my original logo:          M   #libertynothillary  #HillNo #tcot #UniteBlue	Hillary Clinton	AGAINST	other
I will be there when your little tree has run out of smell. #ThatChampion	Hillary Clinton	NONE	neg
crazy to think next up for the Oval Office is either going to be Hillary or a Republican	Hillary Clinton	AGAINST	neg
@NACLA @BrasilWire SOS OBAMA Who?? @BarackObama ?? :-))))  Are you joking? #StopDilma #StopLula #StopForodeSaoPaulo	Hillary Clinton	NONE	neg
@CheekyGent @ChuckCJohnson Hey Hillary is on her to way to buy votes too! #HillarySoOld	Hillary Clinton	AGAINST	neg
RT @NicolaSturgeon: It's official: Hillary's running for president, says her campaign chief. Excellent!	Hillary Clinton	FAVOR	pos
Only in a SEXIST AS FUK world would we question the qualifications of a former SECRETARY OF STATE.	Hillary Clinton	FAVOR	neg
@ChrisChristie couldn't run his way out of a paper bag let alone beat #HillaryClinton. Go home Chris u r drunk. #ChrisChristie	Hillary Clinton	FAVOR	neg
@ReformedBroker to da honies gittin money playing #bleep words like dummies #POPPA	Hillary Clinton	NONE	neg
Forgive #CherylRios of her stupid comments about women being president. She will blame it on that time of the month anyways.	Hillary Clinton	NONE	neg
Low key it would be interesting to have a female president.	Hillary Clinton	FAVOR	pos
@seanhannity we lost 4,000 of our Military boys when your President pulled out of Iraq.  #LiberalConsequences 	Hillary Clinton	AGAINST	neg
.@EthanObama I know - it's just going to be a long year!	Hillary Clinton	NONE	neg
Technically, a president with raging hormones could refer to estrogen, testosterone or anabolic steroids #IBlamePublicSchools	Hillary Clinton	AGAINST	neg
Does Hillary really need to run this country? Could we just make her president of the Bingo club at Shady Pines?  #tcot #p2	Hillary Clinton	AGAINST	neg
Lol why do so many people around here hate Hillary? 	Hillary Clinton	FAVOR	neg
@HillaryClinton is at the top, and has spent her whole career growing government, keeping the deck stacked. #LibertyNotHillary	Hillary Clinton	AGAINST	neg
Problem with #libertarian is it's not even a decreed party. A house devided against itself, will not stand. think this news to	Hillary Clinton	NONE	neg
@HillaryClinton i am portuguese and i support your campaign! Best luck! The world need a person and a women like you! #USA	Hillary Clinton	FAVOR	pos
Hillary Clinton for Ambassador to ISIS.	Hillary Clinton	AGAINST	neg
So when all you brave patriots stop Hillary, who you going to replace her with, Jeb Bush? LOL. #losers	Hillary Clinton	FAVOR	neg
I'm a woman. Can I be President? @StopHillaryPAC	Hillary Clinton	AGAINST	neg
This is not her first time at the rodeo!  @HillaryClinton doesn't care who likes her or not This woman is on a mission #Tough	Hillary Clinton	FAVOR	pos
@lajouetreine @KarrattiPaul I'm not a Genitalian	Hillary Clinton	NONE	neg
Wondering what the NEXT idiotic GOP smear against @HillaryClinton will be. It's coming for sure. Just don't know details yet.	Hillary Clinton	FAVOR	neg
Hillary is killing it so far on the trail. She's finally showing her personal side and I think it will benefit her profoundly.	Hillary Clinton	FAVOR	pos
Do we call Bill Mr President...the first 1st man of Or mr president the 1st man? Lol #imreadyforhillary	Hillary Clinton	FAVOR	pos
.@gailtalk @trscoop Of course it was. She'll be handled every step of the way. They can't risk her unscripted.	Hillary Clinton	AGAINST	neg
I just want my dog to stop eating the trash	Hillary Clinton	NONE	neg
@thehill @evanperez are you kidding me...leave her to focus on issues...the next prez	Hillary Clinton	FAVOR	neg
Congratulations @HillaryClinton on entering the 2016 race for President! You have the support of Jews all over the world!	Hillary Clinton	FAVOR	pos
@HillaryClinton had more twitter followers then all four major Republican candidates (Bush, Rubio, Paul, Cruz) COMBINED.	Hillary Clinton	FAVOR	pos
#HillaryClinton has yet to release @ClintonFdn donors... Public deserves disclosure. #Scandals #lies #Clintons	Hillary Clinton	AGAINST	neg
I want to go back in time to when men and women couldn't appear in the same yearbook as each other #old school	Hillary Clinton	NONE	neg
RT @hale_razor:#HillaryAccomplishments 1 of select few people fired 4 being 2 unethical 2 investigate Watergate	Hillary Clinton	AGAINST	neg
How can she live with herself? #Benghazi	Hillary Clinton	AGAINST	neg
Marriage equality a constitutional right! Woot #HRC2016 #hillaryclinton #readyforhillary #vote #hillaryfor2016 ##mpotus	Hillary Clinton	FAVOR	pos
Hillary needs to go to a Sheetz gas station after 10 pm to see the real America.	Hillary Clinton	AGAINST	neg
