Tweet	Target	Stance	Sentiment
@danibchristen_JJ greater_JJR against_NN ur_NN superior_JJ mine_VB lol_NN dont_VBP feminism_NN	Feminist Movement	AGAINST	neg
gotta_VB fuck_NN never_RB feel_VB gotta_VBP fuck_VBN	Feminist Movement	NONE	neg
men_NNS favor_NNS piece_NN meat_NN cook_VB eat_VB favor_NNS	Feminist Movement	FAVOR	neg
against_VBG compile_VB evidence_NN blog_NN post_NN modern_JJ feminism_NN share_NNS traits_NNS nazi_JJ against_NN against_NNS feminism_NN	Feminist Movement	AGAINST	neg
love_VBP twitter_NN	Feminist Movement	NONE	neg
hope_VBP rap_VBN apparently_RB misogynists_NNS dare_NN favor_RB bend_VB favor_NNS	Feminist Movement	FAVOR	neg
radical_JJ feminist_NN feminist_JJ against_NN rethink_VBG position_NN feminism_NN	Feminist Movement	AGAINST	neg
honour_VBN inspirational_JJ @kon__k_NN founder_NN @asrc1_NNP real_JJ australians_NNS things_NNS matter_VBP	Feminist Movement	NONE	pos
feminists_NNS against_VB feminism_NN	Feminist Movement	AGAINST	neg
work_NN favor_NNS favor_NN favor_RB favor_VBG favor_NNS favor_VBG favor_NN	Feminist Movement	FAVOR	pos
wanna_VBP favor_VB favor_NN raise_VB family_NN cool_NN choice_NN nobody_NN	Feminist Movement	FAVOR	neg
@suicidaljac3_RB eat_VB pus_NN lozer_NN	Feminist Movement	NONE	neg
favor_NNS superior_JJ men_NNS aspect_NN feminist_NN	Feminist Movement	FAVOR	pos
@bruiseaurora_NNS advocate_VBG men_NNS stop_VB love_VBG favor_NNS sex_NN everyday_JJ sexism_NN	Feminist Movement	AGAINST	neg
feminism_NN because-_NN man_NN favor_NN full_JJ favor_NNS ecstatic_JJ favor_NN favor_NN full_JJ men_NNS terrify_VBN	Feminist Movement	FAVOR	neg
favor_JJ elam_RB favor_RB hat_JJ men_NNS alive_JJ favor_VBZ feminist_NN	Feminist Movement	FAVOR	neg
favor_NNS favor_RB fair_JJ men_NNS favor_VBG favor_NN sham_VBN favor_NN favor_VB favor_NNS additudes_NNS everyday_JJ sexism_NN	Feminist Movement	FAVOR	neg
watch_VBG miss_JJ representation_NN favor_VB favor_NN favor_NNS rule_VBP favor_NN beauty_NN	Feminist Movement	FAVOR	neg
complain_VB favor_JJ rep_NN favor_NNS favor_VBG princess_NN peach_NN zelda_NN kick-ass_JJ favor_NNS samus_NN beast_NN favor_NN	Feminist Movement	FAVOR	pos
favor_NN favor_RB sex_NN object_NN person_NN truth_NN wisdom_NN womens_VBZ favor_NNS media_NNS favor_NN humanity_NN love_VBP favor_NN	Feminist Movement	FAVOR	pos
umrao_JJ jaan_NN ada-_NN story_NN favor_RB favor_NN prostitute_NN poise_NN poesy_NN favor_NN favor_NN	Feminist Movement	FAVOR	neg
lol_NN favor_RB want_VBG favor_JJ	Feminist Movement	FAVOR	neg
hear_VB favor_RB 1_CD 5_CD favor_NNS sexually_RB assault_VBN time_NN college_NN misogyny_NN favor_RB	Feminist Movement	FAVOR	neg
@amin86660132_JJ @justsoshelby_JJ nice_JJ work_NN happy_JJ hear_VB autistic_JJ friend_NN express_VB	Feminist Movement	NONE	pos
wtf_JJ literal_JJ fuck_NN evan_VBP sseing_VBG thing_NN	Feminist Movement	NONE	neg
radio_NNS fill_VBN feminist_JJ against_JJ against_NN feminism_NN alive_JJ malaysia_NN against_NN guilt_NN tactics_NNS silence_VB	Feminist Movement	AGAINST	neg
solace_NN know_VBG mean_VBZ useless_JJ hack_NN @thehiredmind_NN	Feminist Movement	NONE	neg
no_DT feminists_NNS favor_RB favor_RB fact_NN favor_JJ favor_NNS men_NNS favor_NNS feminists_NNS beautiful_JJ	Feminist Movement	FAVOR	neg
meredith_NN give_VBG don_JJ crap_NN great_JJ holy_JJ crap_NN peggy_NN no_DT spoilers_NNS damn_NN great_JJ scene_NN peggy_JJ madmen_NNS	Feminist Movement	NONE	pos
guess_VBP definition_NN favor_RB believe_VBG favor_JJ favor_NNS favor_RB	Feminist Movement	FAVOR	neg
strict_JJ favor_NN roles_NNS context_NN true_JJ marriage_NN devote_VBN raise_VBG children_NNS ideal_NN no_DT substitute_NNS top_JJ conservatives_NNS twitter_NN	Feminist Movement	AGAINST	pos
armchair_NN feminists_NNS panties_NNS wet_VBP social_JJ justice_NN warrior_RB against_NN	Feminist Movement	AGAINST	neg
reason_NNS favor_NNS feminism_NN dog_NN half_NN reason_NNS against_NNS feminist_VBP	Feminist Movement	AGAINST	neg
@starsthomas_JJ dear_JJ god_NN fat_JJ	Feminist Movement	NONE	neg
feminists_NNS favor_RB favor_NNS favor_VBG favor_RB vile_JJ	Feminist Movement	FAVOR	neg
favor_VB favor_NNS cadigory_NN ill_NN boot_VBZ door_NN	Feminist Movement	FAVOR	neg
jest_NN ):_NN man_JJ favor_NN y'know_VBP kaitlyn_NN blow_VB favor_NN	Feminist Movement	FAVOR	neg
@awyee707_NN favor_VBP truck-suck_JJ favor_RB favor_VB favor_NNS innate_NN choose_VBN doll-love_NN	Feminist Movement	FAVOR	neg
@awyee707_NN @tigerclaud_NN compare_VBN play_VBG dolls_NNS violent_JJ disposition_NN things_NNS gamer_NN gate_NN	Feminist Movement	NONE	neg
@optimist216_VB load_NN crap_NN favor_VBG appropriately_RB office_NN sexist_VBN grow_VB favor_NNS	Feminist Movement	FAVOR	neg
favor_RB schadenfreudes_NNS stand_VB tickle_NN @mt8_9_CD @prettysing_VBG	Feminist Movement	NONE	neg
@diistantecho_VB wee_NN sister_NN believe_VBZ santa_JJ claus_NN feminism_NN harder_JJR mean_VBZ	Feminist Movement	AGAINST	neg
@dancerlwt_NNS consider_VBN favor_VBG twitter_NN handle_NN vagina_VB monologue_NN	Feminist Movement	AGAINST	neg
give_VB attention_NN never_RB give_VBD extreme_NN rule_NNS nepal_JJ earthquake_NN freddie_JJ gray_JJ rhoa_NN reunion_NN	Feminist Movement	NONE	neg
@nycinterlude_VBP worry_NN honey_NN intelligence_NN roadblock_NN full_JJ unquestioning_VBG faith_NN feminism_NN bleat_VBN	Feminist Movement	AGAINST	neg
feminist_NN female_NN long_JJ time_NN now.it'd_RB stupid_JJ favor_RB side-maya_JJ angelou-_JJ feminist_NN humanist_NN	Feminist Movement	FAVOR	pos
@feminismvibes_NNS men_NNS admit_NN rap_VBN readily_RB favor_NNS question_NN feminist_JJ bullshit_NN	Feminist Movement	AGAINST	neg
@vote4pedro____NN lie_VBD idiot_VBP fact_NN reason_NN acknowledge_VB facts_NNS reason_NN	Feminist Movement	NONE	neg
@ananddaranand_NN favor_RB stop_VBG foe_NN ur_JJ tl_NN notice_VBP encourage_VBG post_VB topics_NNS interest_JJ tl_NN vaw_NN	Feminist Movement	NONE	neg
court_VBG patriarchal_JJ approval_NN condemn_VB sisters_NNS abuse_VB physical_JJ appearance_NN favor_NN favor_RB	Feminist Movement	FAVOR	neg
@skynews_NNS @eamonnholmes_NNS @skyjacquie_VBP favor_NN beach_NN body_NN ready_JJ advert_NN favor_VBN conclusion_NN arrogant_JJ male_JJ chauvinist_NN idiot_NN	Feminist Movement	FAVOR	neg
@rsiereilly_RB pretty_RB enjoy_VB response_NN	Feminist Movement	NONE	pos
contempo_JJ qiwaamah_NN longer_NN pay_VBD maternity_NN leave_NN flexi_JJ work_NN hours_NNS on-site_JJ childcare_NN breastfeeding/breastpumping_VBG favor_NNS favor_JJ pay_NN	Feminist Movement	FAVOR	pos
@mrmikecalta_JJ proud_NN listen_VBP fat_VB cross_JJ eye_VBN mj_NN	Feminist Movement	NONE	neg
reason_NN stop_VBD entrance_NN walk_VBG street_NN law_NN attraction_NN viewpoint_NN daily_JJ devotional_NN	Feminist Movement	NONE	pos
